forecast_date,target,target_end_date,location,type,quantile,value
2020-10-04,1 wk ahead cum death,2020-10-10,Mississippi,point,,3094
2020-10-04,1 wk ahead cum death,2020-10-10,Missouri,point,,2344
2020-10-04,1 wk ahead cum death,2020-10-10,Montana,point,,246
2020-10-04,1 wk ahead cum death,2020-10-10,Nebraska,point,,593
2020-10-04,1 wk ahead cum death,2020-10-10,Nevada,point,,1678
2020-10-04,1 wk ahead cum death,2020-10-10,New Hampshire,point,,449
2020-10-04,1 wk ahead cum death,2020-10-10,New Jersey,point,,16182
2020-10-04,1 wk ahead cum death,2020-10-10,New Mexico,point,,920
2020-10-04,1 wk ahead cum death,2020-10-10,New York,point,,33291
2020-10-04,1 wk ahead cum death,2020-10-10,North Carolina,point,,3795
2020-10-04,1 wk ahead cum death,2020-10-10,North Dakota,point,,333
2020-10-04,1 wk ahead cum death,2020-10-10,Ohio,point,,5054
2020-10-04,1 wk ahead cum death,2020-10-10,Oklahoma,point,,1138
2020-10-04,1 wk ahead cum death,2020-10-10,Oregon,point,,613
2020-10-04,1 wk ahead cum death,2020-10-10,Pennsylvania,point,,8292
2020-10-04,1 wk ahead cum death,2020-10-10,Rhode Island,point,,1128
2020-10-04,1 wk ahead cum death,2020-10-10,South Carolina,point,,3545
2020-10-04,1 wk ahead cum death,2020-10-10,South Dakota,point,,308
2020-10-04,1 wk ahead cum death,2020-10-10,Tennessee,point,,2702
2020-10-04,1 wk ahead cum death,2020-10-10,Texas,point,,16850
2020-10-04,1 wk ahead cum death,2020-10-10,Utah,point,,521
2020-10-04,1 wk ahead cum death,2020-10-10,Vermont,point,,68
2020-10-04,1 wk ahead cum death,2020-10-10,Virginia,point,,3427
2020-10-04,1 wk ahead cum death,2020-10-10,Washington,point,,2202
2020-10-04,1 wk ahead cum death,2020-10-10,West Virginia,point,,411
2020-10-04,1 wk ahead cum death,2020-10-10,Wisconsin,point,,1470
2020-10-04,1 wk ahead cum death,2020-10-10,Wyoming,point,,70
2020-10-11,1 wk ahead cum death,2020-10-17,US,point,,219225
2020-10-11,1 wk ahead cum death,2020-10-17,Alabama,point,,2744
2020-10-11,1 wk ahead cum death,2020-10-17,Alaska,point,,93
2020-10-11,1 wk ahead cum death,2020-10-17,Arizona,point,,5833
2020-10-11,1 wk ahead cum death,2020-10-17,Arkansas,point,,1644
2020-10-11,1 wk ahead cum death,2020-10-17,California,point,,16986
2020-10-11,1 wk ahead cum death,2020-10-17,Colorado,point,,2181
2020-10-11,1 wk ahead cum death,2020-10-17,Connecticut,point,,4546
2020-10-11,1 wk ahead cum death,2020-10-17,Delaware,point,,663
2020-10-11,1 wk ahead cum death,2020-10-17,,point,,640
2020-10-11,1 wk ahead cum death,2020-10-17,Florida,point,,15632
2020-10-11,1 wk ahead cum death,2020-10-17,Georgia,point,,7571
2020-10-11,1 wk ahead cum death,2020-10-17,Hawaii,point,,182
2020-10-11,1 wk ahead cum death,2020-10-17,Idaho,point,,553
2020-10-11,1 wk ahead cum death,2020-10-17,Illinois,point,,9386
2020-10-11,1 wk ahead cum death,2020-10-17,Indiana,point,,3873
2020-10-11,1 wk ahead cum death,2020-10-17,Iowa,point,,1549
2020-10-11,1 wk ahead cum death,2020-10-17,Kansas,point,,878
2020-10-11,1 wk ahead cum death,2020-10-17,Kentucky,point,,1349
2020-10-11,1 wk ahead cum death,2020-10-17,Louisiana,point,,5708
2020-10-11,1 wk ahead cum death,2020-10-17,Maine,point,,154
2020-10-11,1 wk ahead cum death,2020-10-17,Maryland,point,,4028
2020-10-11,1 wk ahead cum death,2020-10-17,Massachusetts,point,,9657
2020-10-11,1 wk ahead cum death,2020-10-17,Michigan,point,,7320
2020-10-11,1 wk ahead cum death,2020-10-17,Minnesota,point,,2281
2020-10-11,1 wk ahead cum death,2020-10-17,Mississippi,point,,3171
2020-10-11,1 wk ahead cum death,2020-10-17,Missouri,point,,2581
2020-10-11,1 wk ahead cum death,2020-10-17,Montana,point,,268
2020-10-11,1 wk ahead cum death,2020-10-17,Nebraska,point,,616
