Week Ending Date,State,Excess Deaths
11/28/20,Vermont,32
12/5/20,Vermont,30
12/12/20,Vermont,3
12/19/20,Vermont,19
12/26/20,Vermont,22
1/2/21,Vermont,9
1/9/21,Vermont,0
1/16/21,Vermont,17
1/23/21,Vermont,2
1/30/21,Vermont,0
2/6/21,Vermont,28
2/13/21,Vermont,5
2/20/21,Vermont,20
2/27/21,Vermont,21
3/6/21,Vermont,0
10/3/20,Virginia,175
10/10/20,Virginia,123
10/17/20,Virginia,77
10/24/20,Virginia,122
10/31/20,Virginia,156
11/7/20,Virginia,259
11/14/20,Virginia,118
11/21/20,Virginia,211
11/28/20,Virginia,175
12/5/20,Virginia,198
12/12/20,Virginia,345
12/19/20,Virginia,407
12/26/20,Virginia,431
1/2/21,Virginia,544
1/9/21,Virginia,528
1/16/21,Virginia,566
1/23/21,Virginia,619
1/30/21,Virginia,462
2/6/21,Virginia,490
2/13/21,Virginia,237
2/20/21,Virginia,156
2/27/21,Virginia,94
3/6/21,Virginia,0
10/3/20,Washington,33
10/10/20,Washington,41
10/17/20,Washington,23
10/24/20,Washington,52
10/31/20,Washington,55
11/7/20,Washington,130
11/14/20,Washington,161
11/21/20,Washington,169
11/28/20,Washington,84
12/5/20,Washington,195
12/12/20,Washington,238
12/19/20,Washington,179
12/26/20,Washington,150
1/2/21,Washington,76
1/9/21,Washington,139
1/16/21,Washington,82
1/23/21,Washington,24
1/30/21,Washington,37
2/6/21,Washington,39
2/13/21,Washington,0
2/20/21,Washington,0
2/27/21,Washington,0
3/6/21,Washington,0
10/3/20,West Virginia,0
10/10/20,West Virginia,53
10/17/20,West Virginia,8
10/24/20,West Virginia,11
10/31/20,West Virginia,19
11/7/20,West Virginia,57
11/14/20,West Virginia,85
11/21/20,West Virginia,59
11/28/20,West Virginia,100
12/5/20,West Virginia,158
12/12/20,West Virginia,164
12/19/20,West Virginia,203
12/26/20,West Virginia,166
1/2/21,West Virginia,210
1/9/21,West Virginia,191
1/16/21,West Virginia,143
1/23/21,West Virginia,71
1/30/21,West Virginia,52
2/6/21,West Virginia,0
2/13/21,West Virginia,0
2/20/21,West Virginia,0
2/27/21,West Virginia,0
3/6/21,West Virginia,0
10/3/20,Wisconsin,120
10/10/20,Wisconsin,117
10/17/20,Wisconsin,189
10/24/20,Wisconsin,330
10/31/20,Wisconsin,382
11/7/20,Wisconsin,525
11/14/20,Wisconsin,642
11/21/20,Wisconsin,588
11/28/20,Wisconsin,553
12/5/20,Wisconsin,567
12/12/20,Wisconsin,484
12/19/20,Wisconsin,394
12/26/20,Wisconsin,283
1/2/21,Wisconsin,263
1/9/21,Wisconsin,222
1/16/21,Wisconsin,66
1/23/21,Wisconsin,87
1/30/21,Wisconsin,17
2/6/21,Wisconsin,2
2/13/21,Wisconsin,2
2/20/21,Wisconsin,0
2/27/21,Wisconsin,0
3/6/21,Wisconsin,0
10/3/20,Wyoming,21
10/10/20,Wyoming,6
10/17/20,Wyoming,8
10/24/20,Wyoming,31
10/31/20,Wyoming,12
11/7/20,Wyoming,37
11/14/20,Wyoming,31
11/21/20,Wyoming,31
11/28/20,Wyoming,33
12/5/20,Wyoming,13
12/12/20,Wyoming,35
12/19/20,Wyoming,59
12/26/20,Wyoming,22
1/2/21,Wyoming,21
1/9/21,Wyoming,19
1/16/21,Wyoming,6
1/23/21,Wyoming,6
1/30/21,Wyoming,13
2/6/21,Wyoming,5
2/13/21,Wyoming,2
2/20/21,Wyoming,2
2/27/21,Wyoming,0
3/6/21,Wyoming,0
