DEATH_YEAR,WEEK_NUM,FIPS,COUNTY,NUMBER_OF_DEATHS
2017,1,1,ACCOMACK             ,4
2017,2,1,ACCOMACK             ,5
2017,3,1,ACCOMACK             ,6
2017,4,1,ACCOMACK             ,4
2017,5,1,ACCOMACK             ,1
2017,6,1,ACCOMACK             ,5
2017,7,1,ACCOMACK             ,0
2017,8,1,ACCOMACK             ,0
2017,9,1,ACCOMACK             ,6
2017,10,1,ACCOMACK             ,0
2017,11,1,ACCOMACK             ,5
2017,12,1,ACCOMACK             ,9
2017,13,1,ACCOMACK             ,8
2017,14,1,ACCOMACK             ,10
2017,15,1,ACCOMACK             ,11
2017,16,1,ACCOMACK             ,2
2017,17,1,ACCOMACK             ,1
2017,18,1,ACCOMACK             ,9
2017,19,1,ACCOMACK             ,5
2017,20,1,ACCOMACK             ,6
2017,21,1,ACCOMACK             ,9
2017,22,1,ACCOMACK             ,8
2017,23,1,ACCOMACK             ,8
2017,24,1,ACCOMACK             ,0
2017,25,1,ACCOMACK             ,5
2017,26,1,ACCOMACK             ,9
2017,27,1,ACCOMACK             ,9
2017,28,1,ACCOMACK             ,10
2017,29,1,ACCOMACK             ,8
2017,30,1,ACCOMACK             ,6
2017,31,1,ACCOMACK             ,5
2017,32,1,ACCOMACK             ,11
2017,33,1,ACCOMACK             ,5
2017,34,1,ACCOMACK             ,9
2017,35,1,ACCOMACK             ,3
2017,36,1,ACCOMACK             ,6
2017,37,1,ACCOMACK             ,4
2017,38,1,ACCOMACK             ,9
2017,39,1,ACCOMACK             ,7
2017,41,1,ACCOMACK             ,7
2017,42,1,ACCOMACK             ,9
2017,43,1,ACCOMACK             ,5
2017,44,1,ACCOMACK             ,8
2017,45,1,ACCOMACK             ,5
2017,46,1,ACCOMACK             ,7
2017,47,1,ACCOMACK             ,12
2017,48,1,ACCOMACK             ,14
2017,49,1,ACCOMACK             ,1
2017,50,1,ACCOMACK             ,0
2017,51,1,ACCOMACK             ,6
2017,52,1,ACCOMACK             ,7
2017,53,1,ACCOMACK             ,1
2017,1,3,ALBEMARLE            ,20
2017,2,3,ALBEMARLE            ,28
2017,3,3,ALBEMARLE            ,33
2017,4,3,ALBEMARLE            ,24
2017,5,3,ALBEMARLE            ,20
2017,6,3,ALBEMARLE            ,26
2017,7,3,ALBEMARLE            ,19
2017,8,3,ALBEMARLE            ,23
2017,9,3,ALBEMARLE            ,17
2017,10,3,ALBEMARLE            ,15
2017,11,3,ALBEMARLE            ,14
2017,12,3,ALBEMARLE            ,18
2017,13,3,ALBEMARLE            ,29
2017,14,3,ALBEMARLE            ,21
2017,15,3,ALBEMARLE            ,22
2017,16,3,ALBEMARLE            ,22
2017,17,3,ALBEMARLE            ,17
2017,18,3,ALBEMARLE            ,18
2017,19,3,ALBEMARLE            ,16
2017,20,3,ALBEMARLE            ,18
2017,21,3,ALBEMARLE            ,11
2017,22,3,ALBEMARLE            ,14
2017,23,3,ALBEMARLE            ,22
2017,24,3,ALBEMARLE            ,24
2017,25,3,ALBEMARLE            ,17
2017,26,3,ALBEMARLE            ,25
2017,27,3,ALBEMARLE            ,26
2017,28,3,ALBEMARLE            ,19
2017,29,3,ALBEMARLE            ,20
2017,30,3,ALBEMARLE            ,13
2017,31,3,ALBEMARLE            ,15
2017,32,3,ALBEMARLE            ,18
2017,33,3,ALBEMARLE            ,21
2017,34,3,ALBEMARLE            ,17
2017,35,3,ALBEMARLE            ,14
2017,36,3,ALBEMARLE            ,23
2017,37,3,ALBEMARLE            ,22
2017,38,3,ALBEMARLE            ,18
2017,39,3,ALBEMARLE            ,28
