State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
32,1.0,2016,13,Constant,12,0.0
32,1.0,2017,13,Constant,16,0.0
32,1.0,2018,13,Constant,29,0.0
32,1.0,2019,13,Constant,16,0.0
32,1.0,2020,13,Constant,16,0.6
32,1.0,2015,13,Lagged,4,0.0
32,1.0,2016,13,Lagged,12,0.0
32,1.0,2017,13,Lagged,16,0.0
32,1.0,2018,13,Lagged,29,0.0
32,1.0,2019,13,Lagged,16,0.0
32,1.0,2020,13,Lagged,16,0.6
32,1.0,2015,14,Constant,24,0.0
32,1.0,2016,14,Constant,8,0.0
32,1.0,2017,14,Constant,20,0.0
32,1.0,2018,14,Constant,20,0.0
32,1.0,2019,14,Constant,12,0.0
32,1.0,2020,14,Constant,37,20.2
32,1.0,2015,14,Lagged,25,0.0
32,1.0,2016,14,Lagged,8,0.0
32,1.0,2017,14,Lagged,20,0.0
32,1.0,2018,14,Lagged,20,0.0
32,1.0,2019,14,Lagged,12,0.0
32,1.0,2020,14,Lagged,36,19.0
32,1.0,2015,15,Constant,29,0.0
32,1.0,2016,15,Constant,33,0.0
32,1.0,2017,15,Constant,8,0.0
32,1.0,2018,15,Constant,24,0.0
32,1.0,2019,15,Constant,41,0.0
32,1.0,2020,15,Constant,37,10.0
32,1.0,2015,15,Lagged,29,0.0
32,1.0,2016,15,Lagged,33,0.0
32,1.0,2017,15,Lagged,8,0.0
32,1.0,2018,15,Lagged,24,0.0
32,1.0,2019,15,Lagged,40,0.0
32,1.0,2020,15,Lagged,36,9.2
32,1.0,2015,16,Constant,33,0.0
32,1.0,2016,16,Constant,29,0.0
32,1.0,2017,16,Constant,29,0.0
32,1.0,2018,16,Constant,29,0.0
32,1.0,2019,16,Constant,45,0.0
32,1.0,2020,16,Constant,33,0.0
32,1.0,2015,16,Lagged,33,0.0
32,1.0,2016,16,Lagged,29,0.0
32,1.0,2017,16,Lagged,29,0.0
32,1.0,2018,16,Lagged,29,0.0
32,1.0,2019,16,Lagged,44,0.0
32,1.0,2020,16,Lagged,32,-0.8
32,1.0,2015,17,Constant,29,0.0
32,1.0,2016,17,Constant,16,0.0
32,1.0,2017,17,Constant,20,0.0
32,1.0,2018,17,Constant,20,0.0
32,1.0,2019,17,Constant,16,0.0
32,1.0,2020,17,Constant,20,-0.2
32,1.0,2015,17,Lagged,29,0.0
32,1.0,2016,17,Lagged,16,0.0
32,1.0,2017,17,Lagged,20,0.0
32,1.0,2018,17,Lagged,20,0.0
32,1.0,2019,17,Lagged,16,0.0
32,1.0,2020,17,Lagged,20,-0.2
32,1.0,2015,18,Constant,16,0.0
32,1.0,2016,18,Constant,24,0.0
32,1.0,2017,18,Constant,29,0.0
32,1.0,2018,18,Constant,16,0.0
32,1.0,2019,18,Constant,20,0.0
32,1.0,2020,18,Constant,24,3.0
32,1.0,2015,18,Lagged,16,0.0
32,1.0,2016,18,Lagged,25,0.0
32,1.0,2017,18,Lagged,29,0.0
32,1.0,2018,18,Lagged,16,0.0
32,1.0,2019,18,Lagged,20,0.0
32,1.0,2020,18,Lagged,24,2.8
32,1.0,2015,19,Constant,16,0.0
32,1.0,2016,19,Constant,12,0.0
32,1.0,2017,19,Constant,16,0.0
32,1.0,2018,19,Constant,24,0.0
32,1.0,2019,19,Constant,16,0.0
32,1.0,2020,19,Constant,16,-0.8
32,1.0,2015,19,Lagged,16,0.0
32,1.0,2016,19,Lagged,12,0.0
32,1.0,2017,19,Lagged,16,0.0
32,1.0,2018,19,Lagged,24,0.0
32,1.0,2019,19,Lagged,16,0.0
32,1.0,2020,19,Lagged,16,-0.8
32,1.0,2015,20,Constant,12,0.0
32,1.0,2016,20,Constant,8,0.0
32,1.0,2017,20,Constant,12,0.0
32,1.0,2018,20,Constant,16,0.0
32,1.0,2019,20,Constant,29,0.0
32,1.0,2020,20,Constant,41,25.6
32,1.0,2015,20,Lagged,12,0.0
32,1.0,2016,20,Lagged,8,0.0
32,1.0,2017,20,Lagged,12,0.0
32,1.0,2018,20,Lagged,16,0.0
32,1.0,2019,20,Lagged,28,0.0
32,1.0,2020,20,Lagged,40,24.8
32,1.0,2015,21,Constant,24,0.0
32,1.0,2016,21,Constant,29,0.0
32,1.0,2017,21,Constant,33,0.0
32,1.0,2018,21,Constant,29,0.0
32,1.0,2019,21,Constant,20,0.0
32,1.0,2020,21,Constant,8,-19.0
32,1.0,2015,21,Lagged,25,0.0
32,1.0,2016,21,Lagged,29,0.0
32,1.0,2017,21,Lagged,33,0.0
32,1.0,2018,21,Lagged,29,0.0
32,1.0,2019,21,Lagged,20,0.0
32,1.0,2020,21,Lagged,8,-19.2
32,1.0,2015,22,Constant,8,0.0
32,1.0,2016,22,Constant,8,0.0
32,1.0,2017,22,Constant,41,0.0
32,1.0,2018,22,Constant,20,0.0
32,1.0,2019,22,Constant,20,0.0
32,1.0,2020,22,Constant,20,0.6
32,1.0,2015,22,Lagged,8,0.0
32,1.0,2016,22,Lagged,8,0.0
32,1.0,2017,22,Lagged,41,0.0
32,1.0,2018,22,Lagged,20,0.0
32,1.0,2019,22,Lagged,20,0.0
32,1.0,2020,22,Lagged,20,0.6
32,1.0,2015,23,Constant,20,0.0
32,1.0,2016,23,Constant,37,0.0
32,1.0,2017,23,Constant,37,0.0
32,1.0,2018,23,Constant,37,0.0
32,1.0,2019,23,Constant,37,0.0
32,1.0,2020,23,Constant,16,-17.6
32,1.0,2015,23,Lagged,20,0.0
32,1.0,2016,23,Lagged,37,0.0
32,1.0,2017,23,Lagged,37,0.0
32,1.0,2018,23,Lagged,37,0.0
32,1.0,2019,23,Lagged,36,0.0
32,1.0,2020,23,Lagged,16,-17.4
32,1.0,2015,24,Constant,8,0.0
32,1.0,2016,24,Constant,4,0.0
32,1.0,2017,24,Constant,29,0.0
32,1.0,2018,24,Constant,16,0.0
32,1.0,2019,24,Constant,16,0.0
32,1.0,2015,24,Lagged,8,0.0
32,1.0,2016,24,Lagged,4,0.0
32,1.0,2017,24,Lagged,29,0.0
32,1.0,2018,24,Lagged,16,0.0
32,1.0,2019,24,Lagged,16,0.0
32,1.0,2015,25,Constant,12,0.0
32,1.0,2016,25,Constant,37,0.0
32,1.0,2017,25,Constant,8,0.0
32,1.0,2018,25,Constant,29,0.0
32,1.0,2019,25,Constant,20,0.0
32,1.0,2015,25,Lagged,12,0.0
32,1.0,2016,25,Lagged,37,0.0
32,1.0,2017,25,Lagged,8,0.0
32,1.0,2018,25,Lagged,29,0.0
32,1.0,2019,25,Lagged,20,0.0
32,1.0,2015,26,Constant,16,0.0
32,1.0,2016,26,Constant,20,0.0
32,1.0,2017,26,Constant,29,0.0
32,1.0,2018,26,Constant,24,0.0
32,1.0,2019,26,Constant,41,0.0
32,1.0,2015,26,Lagged,16,0.0
32,1.0,2016,26,Lagged,20,0.0
32,1.0,2017,26,Lagged,29,0.0
32,1.0,2018,26,Lagged,24,0.0
32,1.0,2019,26,Lagged,40,0.0
32,1.0,2015,27,Constant,20,0.0
32,1.0,2016,27,Constant,29,0.0
32,1.0,2017,27,Constant,12,0.0
32,1.0,2018,27,Constant,33,0.0
32,1.0,2019,27,Constant,16,0.0
32,1.0,2015,27,Lagged,20,0.0
32,1.0,2016,27,Lagged,29,0.0
32,1.0,2017,27,Lagged,12,0.0
32,1.0,2018,27,Lagged,33,0.0
32,1.0,2019,27,Lagged,16,0.0
32,1.0,2015,28,Constant,16,0.0
32,1.0,2016,28,Constant,33,0.0
32,1.0,2017,28,Constant,33,0.0
32,1.0,2018,28,Constant,20,0.0
32,1.0,2019,28,Constant,20,0.0
32,1.0,2015,28,Lagged,16,0.0
32,1.0,2016,28,Lagged,33,0.0
32,1.0,2017,28,Lagged,33,0.0
32,1.0,2018,28,Lagged,20,0.0
32,1.0,2019,28,Lagged,20,0.0
32,1.0,2015,29,Constant,20,0.0
32,1.0,2016,29,Constant,20,0.0
32,1.0,2017,29,Constant,24,0.0
32,1.0,2018,29,Constant,16,0.0
32,1.0,2019,29,Constant,24,0.0
32,1.0,2015,29,Lagged,20,0.0
32,1.0,2016,29,Lagged,20,0.0
32,1.0,2017,29,Lagged,25,0.0
32,1.0,2018,29,Lagged,16,0.0
32,1.0,2019,29,Lagged,24,0.0
32,1.0,2015,30,Constant,33,0.0
32,1.0,2016,30,Constant,24,0.0
32,1.0,2017,30,Constant,16,0.0
32,1.0,2018,30,Constant,29,0.0
32,1.0,2019,30,Constant,12,0.0
32,1.0,2015,30,Lagged,33,0.0
32,1.0,2016,30,Lagged,25,0.0
32,1.0,2017,30,Lagged,16,0.0
32,1.0,2018,30,Lagged,29,0.0
32,1.0,2019,30,Lagged,12,0.0
32,1.0,2015,31,Constant,29,0.0
32,1.0,2016,31,Constant,41,0.0
32,1.0,2017,31,Constant,8,0.0
32,1.0,2018,31,Constant,29,0.0
32,1.0,2019,31,Constant,16,0.0
32,1.0,2015,31,Lagged,29,0.0
32,1.0,2016,31,Lagged,41,0.0
32,1.0,2017,31,Lagged,8,0.0
32,1.0,2018,31,Lagged,29,0.0
32,1.0,2019,31,Lagged,16,0.0
32,1.0,2015,32,Constant,29,0.0
32,1.0,2016,32,Constant,33,0.0
32,1.0,2017,32,Constant,20,0.0
32,1.0,2018,32,Constant,24,0.0
32,1.0,2019,32,Constant,16,0.0
32,1.0,2015,32,Lagged,29,0.0
32,1.0,2016,32,Lagged,33,0.0
32,1.0,2017,32,Lagged,20,0.0
32,1.0,2018,32,Lagged,24,0.0
32,1.0,2019,32,Lagged,16,0.0
32,1.0,2015,33,Constant,24,0.0
32,1.0,2016,33,Constant,20,0.0
32,1.0,2017,33,Constant,16,0.0
32,1.0,2018,33,Constant,16,0.0
32,1.0,2019,33,Constant,4,0.0
32,1.0,2015,33,Lagged,25,0.0
32,1.0,2016,33,Lagged,20,0.0
32,1.0,2017,33,Lagged,16,0.0
32,1.0,2018,33,Lagged,16,0.0
32,1.0,2019,33,Lagged,4,0.0
32,1.0,2015,34,Constant,12,0.0
32,1.0,2016,34,Constant,24,0.0
32,1.0,2017,34,Constant,33,0.0
32,1.0,2018,34,Constant,24,0.0
32,1.0,2019,34,Constant,37,0.0
32,1.0,2015,34,Lagged,12,0.0
32,1.0,2016,34,Lagged,25,0.0
32,1.0,2017,34,Lagged,33,0.0
32,1.0,2018,34,Lagged,24,0.0
32,1.0,2019,34,Lagged,36,0.0
32,1.0,2015,35,Constant,33,0.0
32,1.0,2016,35,Constant,29,0.0
32,1.0,2017,35,Constant,20,0.0
32,1.0,2018,35,Constant,4,0.0
32,1.0,2019,35,Constant,12,0.0
