State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
51,1,2020,14,Constant,27,1.2
51,1,2015,14,Lagged,24,0.0
51,1,2016,14,Lagged,9,0.0
51,1,2017,14,Lagged,30,0.0
51,1,2018,14,Lagged,30,0.0
51,1,2019,14,Lagged,36,0.0
51,1,2020,14,Lagged,27,1.2
51,1,2015,15,Constant,15,0.0
51,1,2016,15,Constant,15,0.0
51,1,2017,15,Constant,33,0.0
51,1,2018,15,Constant,21,0.0
51,1,2019,15,Constant,42,0.0
51,1,2020,15,Constant,27,1.8
51,1,2015,15,Lagged,15,0.0
51,1,2016,15,Lagged,15,0.0
51,1,2017,15,Lagged,33,0.0
51,1,2018,15,Lagged,21,0.0
51,1,2019,15,Lagged,42,0.0
51,1,2020,15,Lagged,27,1.8
51,1,2015,16,Constant,0,0.0
51,1,2016,16,Constant,30,0.0
51,1,2017,16,Constant,6,0.0
51,1,2018,16,Constant,24,0.0
51,1,2019,16,Constant,18,0.0
51,1,2020,16,Constant,24,8.4
51,1,2015,16,Lagged,0,0.0
51,1,2016,16,Lagged,30,0.0
51,1,2017,16,Lagged,6,0.0
51,1,2018,16,Lagged,24,0.0
51,1,2019,16,Lagged,18,0.0
51,1,2020,16,Lagged,24,8.4
51,1,2015,17,Constant,18,0.0
51,1,2016,17,Constant,15,0.0
51,1,2017,17,Constant,3,0.0
51,1,2018,17,Constant,15,0.0
51,1,2019,17,Constant,15,0.0
51,1,2020,17,Constant,27,13.8
51,1,2015,17,Lagged,18,0.0
51,1,2016,17,Lagged,15,0.0
51,1,2017,17,Lagged,3,0.0
51,1,2018,17,Lagged,15,0.0
51,1,2019,17,Lagged,15,0.0
51,1,2020,17,Lagged,27,13.8
51,1,2015,18,Constant,15,0.0
51,1,2016,18,Constant,15,0.0
51,1,2017,18,Constant,27,0.0
51,1,2018,18,Constant,27,0.0
51,1,2019,18,Constant,30,0.0
51,1,2020,18,Constant,42,19.2
51,1,2015,18,Lagged,15,0.0
51,1,2016,18,Lagged,15,0.0
51,1,2017,18,Lagged,27,0.0
51,1,2018,18,Lagged,27,0.0
51,1,2019,18,Lagged,30,0.0
51,1,2020,18,Lagged,43,20.2
51,1,2015,19,Constant,18,0.0
51,1,2016,19,Constant,18,0.0
51,1,2017,19,Constant,15,0.0
51,1,2018,19,Constant,15,0.0
51,1,2019,19,Constant,21,0.0
51,1,2020,19,Constant,36,18.6
51,1,2015,19,Lagged,18,0.0
51,1,2016,19,Lagged,18,0.0
51,1,2017,19,Lagged,15,0.0
51,1,2018,19,Lagged,15,0.0
51,1,2019,19,Lagged,21,0.0
51,1,2020,19,Lagged,37,19.6
51,1,2015,20,Constant,15,0.0
51,1,2016,20,Constant,3,0.0
51,1,2017,20,Constant,18,0.0
51,1,2018,20,Constant,24,0.0
