State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k,Age_Adjusted_Deaths_LT_65_Per100k,Age_Adjusted_Deaths_GTE_65_Per100k,Excess_Age_Adjusted_Deaths_LT_65_Per100k,Excess_Age_Adjusted_Deaths_GTE_65_Per100k
30,1,2015,9,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,9,Constant,31,0.0,10,21,0.0,0.0
30,1,2017,9,Constant,21,0.0,10,10,0.0,0.0
30,1,2018,9,Constant,31,0.0,0,31,0.0,0.0
30,1,2019,9,Constant,31,0.0,0,31,0.0,0.0
30,1,2020,9,Constant,31,6.2,0,31,-4.0,10.4
30,1,2015,9,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,9,Lagged,32,0.0,10,21,0.0,0.0
30,1,2017,9,Lagged,21,0.0,10,10,0.0,0.0
30,1,2018,9,Lagged,31,0.0,0,31,0.0,0.0
30,1,2019,9,Lagged,31,0.0,0,31,0.0,0.0
30,1,2020,9,Lagged,31,6.0,0,31,-4.0,10.4
30,1,2015,10,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,10,Constant,0,0.0,0,0,0.0,0.0
30,1,2017,10,Constant,31,0.0,10,21,0.0,0.0
30,1,2018,10,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,10,Constant,52,0.0,0,52,0.0,0.0
30,1,2020,10,Constant,0,-20.6,0,0,-2.0,-18.6
30,1,2015,10,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,10,Lagged,0,0.0,0,0,0.0,0.0
30,1,2017,10,Lagged,31,0.0,10,21,0.0,0.0
30,1,2018,10,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,10,Lagged,53,0.0,0,53,0.0,0.0
30,1,2020,10,Lagged,0,-20.8,0,0,-2.0,-18.8
30,1,2015,11,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,11,Constant,21,0.0,0,21,0.0,0.0
30,1,2017,11,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,11,Constant,31,0.0,0,31,0.0,0.0
30,1,2019,11,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,11,Constant,31,12.4,10,21,10.0,2.4
30,1,2015,11,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,11,Lagged,21,0.0,0,21,0.0,0.0
30,1,2017,11,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,11,Lagged,31,0.0,0,31,0.0,0.0
30,1,2019,11,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,11,Lagged,31,12.4,10,21,10.0,2.4
30,1,2015,12,Constant,0,0.0,0,0,0.0,0.0
30,1,2016,12,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,12,Constant,42,0.0,0,42,0.0,0.0
30,1,2018,12,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,12,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,12,Constant,21,6.6,10,10,10.0,-4.4
30,1,2015,12,Lagged,0,0.0,0,0,0.0,0.0
30,1,2016,12,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,12,Lagged,42,0.0,0,42,0.0,0.0
30,1,2018,12,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,12,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,12,Lagged,21,6.6,10,10,10.0,-4.4
30,1,2015,13,Constant,0,0.0,0,0,0.0,0.0
30,1,2016,13,Constant,21,0.0,0,21,0.0,0.0
30,1,2017,13,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,13,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,13,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,13,Constant,31,18.6,0,31,0.0,18.6
30,1,2015,13,Lagged,0,0.0,0,0,0.0,0.0
30,1,2016,13,Lagged,21,0.0,0,21,0.0,0.0
30,1,2017,13,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,13,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,13,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,13,Lagged,31,18.6,0,31,0.0,18.6
30,1,2015,14,Constant,21,0.0,0,21,0.0,0.0
30,1,2016,14,Constant,52,0.0,0,52,0.0,0.0
30,1,2017,14,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,14,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,14,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,14,Constant,31,8.2,0,31,0.0,8.2
30,1,2015,14,Lagged,21,0.0,0,21,0.0,0.0
30,1,2016,14,Lagged,53,0.0,0,53,0.0,0.0
30,1,2017,14,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,14,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,14,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,14,Lagged,31,8.0,0,31,0.0,8.0
30,1,2015,15,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,15,Constant,0,0.0,0,0,0.0,0.0
30,1,2017,15,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,15,Constant,31,0.0,21,10,0.0,0.0
30,1,2019,15,Constant,31,0.0,0,31,0.0,0.0
30,1,2020,15,Constant,0,-18.6,0,0,-4.2,-14.4
30,1,2015,15,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,15,Lagged,0,0.0,0,0,0.0,0.0
30,1,2017,15,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,15,Lagged,31,0.0,21,10,0.0,0.0
30,1,2019,15,Lagged,31,0.0,0,31,0.0,0.0
30,1,2020,15,Lagged,0,-18.6,0,0,-4.2,-14.4
30,1,2015,16,Constant,0,0.0,0,0,0.0,0.0
30,1,2016,16,Constant,31,0.0,0,31,0.0,0.0
30,1,2017,16,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,16,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,16,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,16,Constant,21,4.4,0,21,0.0,4.4
30,1,2015,16,Lagged,0,0.0,0,0,0.0,0.0
30,1,2016,16,Lagged,32,0.0,0,32,0.0,0.0
30,1,2017,16,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,16,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,16,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,16,Lagged,21,4.2,0,21,0.0,4.2
30,1,2015,17,Constant,21,0.0,10,10,0.0,0.0
30,1,2016,17,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,17,Constant,0,0.0,0,0,0.0,0.0
30,1,2018,17,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,17,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,17,Constant,21,6.4,0,21,-2.0,8.6
30,1,2015,17,Lagged,21,0.0,10,10,0.0,0.0
30,1,2016,17,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,17,Lagged,0,0.0,0,0,0.0,0.0
30,1,2018,17,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,17,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,17,Lagged,21,6.4,0,21,-2.0,8.6
30,1,2015,18,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,18,Constant,21,0.0,0,21,0.0,0.0
30,1,2017,18,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,18,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,18,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,18,Constant,21,10.8,0,21,0.0,10.8
30,1,2015,18,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,18,Lagged,21,0.0,0,21,0.0,0.0
30,1,2017,18,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,18,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,18,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,18,Lagged,21,10.8,0,21,0.0,10.8
30,1,2015,19,Constant,21,0.0,21,0,0.0,0.0
30,1,2016,19,Constant,21,0.0,0,21,0.0,0.0
30,1,2017,19,Constant,0,0.0,0,0,0.0,0.0
30,1,2018,19,Constant,21,0.0,10,10,0.0,0.0
30,1,2019,19,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,19,Constant,0,-12.6,0,0,-6.2,-6.2
30,1,2015,19,Lagged,21,0.0,21,0,0.0,0.0
30,1,2016,19,Lagged,21,0.0,0,21,0.0,0.0
30,1,2017,19,Lagged,0,0.0,0,0,0.0,0.0
30,1,2018,19,Lagged,21,0.0,10,10,0.0,0.0
30,1,2019,19,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,19,Lagged,0,-12.6,0,0,-6.2,-6.2
30,1,2015,20,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,20,Constant,10,0.0,10,0,0.0,0.0
30,1,2017,20,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,20,Constant,0,0.0,0,0,0.0,0.0
30,1,2019,20,Constant,21,0.0,10,10,0.0,0.0
30,1,2020,20,Constant,0,-10.2,0,0,-4.0,-6.0
30,1,2015,20,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,20,Lagged,10,0.0,10,0,0.0,0.0
30,1,2017,20,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,20,Lagged,0,0.0,0,0,0.0,0.0
30,1,2019,20,Lagged,21,0.0,10,10,0.0,0.0
30,1,2020,20,Lagged,0,-10.2,0,0,-4.0,-6.0
30,1,2015,21,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,21,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,21,Constant,31,0.0,0,31,0.0,0.0
30,1,2018,21,Constant,0,0.0,0,0,0.0,0.0
30,1,2019,21,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,21,Constant,21,6.6,0,21,0.0,6.6
30,1,2015,21,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,21,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,21,Lagged,31,0.0,0,31,0.0,0.0
30,1,2018,21,Lagged,0,0.0,0,0,0.0,0.0
30,1,2019,21,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,21,Lagged,21,6.6,0,21,0.0,6.6
30,1,2015,22,Constant,21,0.0,0,21,0.0,0.0
30,1,2016,22,Constant,31,0.0,0,31,0.0,0.0
30,1,2017,22,Constant,42,0.0,10,31,0.0,0.0
30,1,2018,22,Constant,21,0.0,10,10,0.0,0.0
30,1,2019,22,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,22,Constant,21,-4.0,0,21,-4.0,0.4
30,1,2015,22,Lagged,21,0.0,0,21,0.0,0.0
30,1,2016,22,Lagged,32,0.0,0,32,0.0,0.0
30,1,2017,22,Lagged,42,0.0,10,31,0.0,0.0
30,1,2018,22,Lagged,21,0.0,10,10,0.0,0.0
30,1,2019,22,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,22,Lagged,21,-4.2,0,21,-4.0,0.2
30,1,2015,23,Constant,42,0.0,10,31,0.0,0.0
30,1,2016,23,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,23,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,23,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,23,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,23,Constant,0,-16.6,0,0,-2.0,-14.4
30,1,2015,23,Lagged,42,0.0,10,32,0.0,0.0
30,1,2016,23,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,23,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,23,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,23,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,23,Lagged,0,-16.6,0,0,-2.0,-14.6
30,1,2015,24,Constant,0,0.0,0,0,0.0,0.0
30,1,2016,24,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,24,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,24,Constant,42,0.0,10,31,0.0,0.0
30,1,2019,24,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,24,Constant,21,8.6,0,21,-2.0,10.8
30,1,2015,24,Lagged,0,0.0,0,0,0.0,0.0
30,1,2016,24,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,24,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,24,Lagged,42,0.0,10,31,0.0,0.0
30,1,2019,24,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,24,Lagged,21,8.6,0,21,-2.0,10.8
30,1,2015,25,Constant,31,0.0,0,31,0.0,0.0
30,1,2016,25,Constant,42,0.0,10,31,0.0,0.0
30,1,2017,25,Constant,31,0.0,0,31,0.0,0.0
30,1,2018,25,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,25,Constant,21,0.0,10,10,0.0,0.0
30,1,2020,25,Constant,21,-6.0,0,21,-4.0,-1.6
30,1,2015,25,Lagged,32,0.0,0,32,0.0,0.0
30,1,2016,25,Lagged,43,0.0,10,32,0.0,0.0
30,1,2017,25,Lagged,31,0.0,0,31,0.0,0.0
30,1,2018,25,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,25,Lagged,21,0.0,10,10,0.0,0.0
30,1,2020,25,Lagged,21,-6.4,0,21,-4.0,-2.0
30,1,2015,26,Constant,52,0.0,10,42,0.0,0.0
30,1,2016,26,Constant,21,0.0,10,10,0.0,0.0
30,1,2017,26,Constant,21,0.0,10,10,0.0,0.0
30,1,2018,26,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,26,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,26,Constant,31,3.8,0,31,-6.0,10.2
30,1,2015,26,Lagged,53,0.0,10,42,0.0,0.0
30,1,2016,26,Lagged,21,0.0,10,10,0.0,0.0
30,1,2017,26,Lagged,21,0.0,10,10,0.0,0.0
30,1,2018,26,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,26,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,26,Lagged,31,3.6,0,31,-6.0,10.2
30,1,2015,27,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,27,Constant,21,0.0,10,10,0.0,0.0
30,1,2017,27,Constant,0,0.0,0,0,0.0,0.0
30,1,2018,27,Constant,31,0.0,21,10,0.0,0.0
30,1,2019,27,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,27,Constant,63,48.6,21,42,14.8,34.0
30,1,2015,27,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,27,Lagged,21,0.0,10,10,0.0,0.0
30,1,2017,27,Lagged,0,0.0,0,0,0.0,0.0
30,1,2018,27,Lagged,31,0.0,21,10,0.0,0.0
30,1,2019,27,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,27,Lagged,63,48.6,21,42,14.8,34.0
30,1,2015,28,Constant,0,0.0,0,0,0.0,0.0
30,1,2016,28,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,28,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,28,Constant,31,0.0,0,31,0.0,0.0
30,1,2019,28,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,28,Constant,31,16.6,10,21,10.0,6.6
30,1,2015,28,Lagged,0,0.0,0,0,0.0,0.0
30,1,2016,28,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,28,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,28,Lagged,31,0.0,0,31,0.0,0.0
