state,county,year,week_num,total_deaths,female_deaths,male_deaths,less_than_65_deaths,greater_than_65_deaths
MT,1,2015,9,1,0,1,0,1
MT,1,2016,9,3,2,1,1,2
MT,1,2017,9,2,0,2,1,1
MT,1,2018,9,3,1,2,0,3
MT,1,2019,9,3,0,3,0,3
MT,1,2020,9,3,1,2,0,3
MT,1,2015,10,1,0,1,0,1
MT,1,2016,10,0,0,0,0,0
MT,1,2017,10,3,1,2,1,2
MT,1,2018,10,1,1,0,0,1
MT,1,2019,10,5,1,4,0,5
MT,1,2020,10,0,0,0,0,0
MT,1,2015,11,1,0,1,0,1
MT,1,2016,11,2,1,1,0,2
MT,1,2017,11,1,1,0,0,1
MT,1,2018,11,3,3,0,0,3
MT,1,2019,11,2,2,0,0,2
MT,1,2020,11,3,0,3,1,2
MT,1,2015,12,0,0,0,0,0
MT,1,2016,12,1,0,1,0,1
MT,1,2017,12,4,3,1,0,4
MT,1,2018,12,1,0,1,0,1
MT,1,2019,12,1,1,0,0,1
MT,1,2020,12,2,0,2,1,1
MT,1,2015,13,0,0,0,0,0
MT,1,2016,13,2,1,1,0,2
MT,1,2017,13,1,0,1,0,1
MT,1,2018,13,2,1,1,0,2
MT,1,2019,13,1,1,0,0,1
MT,1,2020,13,3,1,2,0,3
MT,1,2015,14,2,1,1,0,2
MT,1,2016,14,5,2,3,0,5
MT,1,2017,14,2,1,1,0,2
MT,1,2018,14,1,1,0,0,1
MT,1,2019,14,1,0,1,0,1
MT,1,2020,14,3,1,2,0,3
MT,1,2015,15,1,0,1,0,1
MT,1,2016,15,0,0,0,0,0
MT,1,2017,15,2,2,0,0,2
MT,1,2018,15,3,0,3,2,1
MT,1,2019,15,3,3,0,0,3
MT,1,2020,15,0,0,0,0,0
MT,1,2015,16,0,0,0,0,0
MT,1,2016,16,3,2,1,0,3
MT,1,2017,16,2,1,1,0,2
MT,1,2018,16,1,0,1,0,1
MT,1,2019,16,2,1,1,0,2
MT,1,2020,16,2,1,1,0,2
MT,1,2015,17,2,1,1,1,1
MT,1,2016,17,1,0,1,0,1
MT,1,2017,17,0,0,0,0,0
MT,1,2018,17,2,2,0,0,2
MT,1,2019,17,2,1,1,0,2
MT,1,2020,17,2,1,1,0,2
MT,1,2015,18,1,1,0,0,1
MT,1,2016,18,2,1,1,0,2
MT,1,2017,18,1,0,1,0,1
MT,1,2018,18,1,1,0,0,1
MT,1,2019,18,0,0,0,0,0
MT,1,2020,18,2,2,0,0,2
MT,1,2015,19,2,1,1,2,0
MT,1,2016,19,2,2,0,0,2
MT,1,2017,19,0,0,0,0,0
MT,1,2018,19,2,1,1,1,1
MT,1,2019,19,0,0,0,0,0
MT,1,2020,19,0,0,0,0,0
MT,1,2015,20,1,0,1,0,1
MT,1,2016,20,1,1,0,1,0
MT,1,2017,20,1,0,1,0,1
MT,1,2018,20,0,0,0,0,0
MT,1,2019,20,2,1,1,1,1
MT,1,2020,20,0,0,0,0,0
MT,1,2015,21,1,1,0,0,1
MT,1,2016,21,1,0,1,0,1
MT,1,2017,21,3,2,1,0,3
MT,1,2018,21,0,0,0,0,0
MT,1,2019,21,2,2,0,0,2
MT,1,2020,21,2,2,0,0,2
MT,1,2015,22,2,2,0,0,2
MT,1,2016,22,3,2,1,0,3
MT,1,2017,22,4,1,3,1,3
MT,1,2018,22,2,1,1,1,1
MT,1,2019,22,1,0,1,0,1
MT,1,2020,22,2,1,1,0,2
MT,1,2015,23,4,2,2,1,3
MT,1,2016,23,1,0,1,0,1
MT,1,2017,23,2,0,2,0,2
MT,1,2018,23,1,1,0,0,1
MT,1,2019,23,0,0,0,0,0
MT,1,2020,23,0,0,0,0,0
MT,1,2015,24,0,0,0,0,0
MT,1,2016,24,1,0,1,0,1
MT,1,2017,24,1,1,0,0,1
MT,1,2018,24,4,2,2,1,3
MT,1,2019,24,0,0,0,0,0
MT,1,2020,24,2,1,1,0,2
MT,1,2015,25,3,2,1,0,3
MT,1,2016,25,4,1,3,1,3
MT,1,2017,25,3,1,2,0,3
MT,1,2018,25,1,0,1,0,1
MT,1,2019,25,2,0,2,1,1
MT,1,2020,25,2,1,1,0,2
MT,1,2015,26,5,2,3,1,4
MT,1,2016,26,2,0,2,1,1
